model,season,index,best_value,top_n,var_thresh
SVR-rbf,0,Average,-0.9318193269814834,5,
XGB10,0,Average,-0.9490767179658745,5,0.1
RF5,0,HWA,-1.9098310342383291,10,
RF10,0,HWA,-1.913661555818722,10,
SVR-rbf,0,HWD,0.3504625901309449,20,0.1
SVR-rbf,0,HWD,0.3501267787172591,5,0.1
XGB15,0,HWF,-0.9639306699764556,15,
XGB15,0,HWF,-0.9639306699764556,15,0.05
XGB10,0,HWM,0.0873901377753649,10,0.1
XGB10,0,HWM,0.0643895837620133,5,
RF5,0,HWN,-0.7436336727092138,5,
RF5,0,HWN,-0.7436336727092138,5,0.05
SVR-rbf,1,Average,-0.5221372380820618,30,
SVR-rbf,1,Average,-0.5221372380820618,30,0.05
XGB15,1,HWA,0.0325329987910509,10,
XGB15,1,HWA,0.0325329987910509,10,0.05
GPR,1,HWD,0.1815403155256104,30,0.15
XGB15,1,HWD,0.1791979669272334,15,
SVR-rbf,1,HWF,0.6692534016281471,30,
SVR-rbf,1,HWF,0.6692534016281471,30,0.05
SVR-rbf,1,HWM,0.5613426267348298,30,
SVR-rbf,1,HWM,0.5613426267348298,30,0.05
XGB10,1,HWN,-1.282915649920838,15,0.15
XGB15,1,HWN,-1.440632641741788,15,0.15
RF5,2,Average,-2.394168156866232,20,
RF10,2,Average,-2.4228597136158214,20,
SVR-rbf,2,HWA,-1.275845354242641,30,
SVR-rbf,2,HWA,-1.275845354242641,30,0.05
GPR,2,HWD,-0.1180912690298819,10,
GPR,2,HWD,-0.1232172237890947,5,
SVR-rbf,2,HWF,0.3146074881299664,30,
SVR-rbf,2,HWF,0.3146074881299664,30,0.05
RF10,2,HWM,0.4594134973387014,15,
RF10,2,HWM,0.4459060601730814,10,
RF5,2,HWN,-7.567011907292742,15,
RF5,2,HWN,-7.668750635062987,20,
RF5,3,Average,-0.9506898378742924,5,0.15
RF5,3,Average,-0.9506898378742924,5,0.15
XGB15,3,HWA,-0.9398503866870446,10,
XGB15,3,HWA,-0.9398503866870446,10,0.05
RF10,3,HWD,0.8170624503464188,5,0.15
RF10,3,HWD,0.8170624503464188,5,0.15
GPR,3,HWF,-0.0842527475169808,15,
GPR,3,HWF,-0.0842527475169808,15,0.05
GPR,3,HWM,0.1426134382253258,5,
GPR,3,HWM,0.1426134382253258,5,0.05
RF5,3,HWN,-1.7613928323909065,10,
RF5,3,HWN,-1.7613928323909065,10,0.05
RF10,4,Average,0.1640411742685327,5,0.15
RF10,4,Average,0.1521424100273399,5,
XGB15,4,HWA,0.3383197701520193,20,0.15
XGB15,4,HWA,0.3317243731565167,10,0.15
RF10,4,HWD,0.6990728715968315,10,
RF10,4,HWD,0.6990728715968315,10,0.05
RF5,4,HWF,0.4229239745228847,10,
RF5,4,HWF,0.4229239745228847,10,0.05
RF10,4,HWM,0.6572572107841641,20,
RF10,4,HWM,0.6572572107841641,20,0.05
XGB15,4,HWN,-0.1608480846223042,5,0.15
XGB10,4,HWN,-0.1816732447080271,5,0.15
SVR-rbf,5,Average,-0.3867526779741385,5,
SVR-rbf,5,Average,-0.3867526779741385,5,0.05
XGB15,5,HWA,0.1071819978968675,10,
XGB15,5,HWA,0.1071819978968675,10,0.05
RF5,5,HWD,0.7096001676236946,15,0.15
RF10,5,HWD,0.6320884927973036,15,0.15
SVR-rbf,5,HWF,-1.0724131535236427,5,
SVR-rbf,5,HWF,-1.0724131535236427,5,0.05
SVR-rbf,5,HWM,0.5135597387141464,10,0.15
GPR,5,HWM,0.4792751777222802,5,
XGB10,5,HWN,0.1396146107989539,10,0.15
XGB10,5,HWN,0.1048336701777923,15,
GPR,6,Average,0.2981810010754784,30,0.05
GPR,6,Average,0.2923260380538919,30,
XGB15,6,HWA,0.3614846992148687,5,
XGB15,6,HWA,0.3614846992148687,5,0.05
RF10,6,HWD,0.483931860708007,15,0.15
RF10,6,HWD,0.483931860708007,15,0.15
GPR,6,HWF,0.7591201362666894,30,
GPR,6,HWF,0.7584756188119364,30,0.05
GPR,6,HWM,0.6892096347145509,30,0.05
GPR,6,HWM,0.6819600748089412,30,
RF5,6,HWN,0.4525601238864861,20,0.1
RF5,6,HWN,0.433642679182935,30,
GPR,7,Average,0.3417024280524051,30,0.1
GPR,7,Average,0.3200737835797791,30,
SVR-rbf,7,HWA,0.0961904801935425,20,0.15
SVR-rbf,7,HWA,0.0737490987188988,20,0.15
XGB15,7,HWD,0.6296902829254345,30,
XGB15,7,HWD,0.6296902829254345,30,0.05
GPR,7,HWF,0.7074927046476176,10,
GPR,7,HWF,0.7074927046476176,10,0.05
GPR,7,HWM,0.6185238104734123,30,
GPR,7,HWM,0.6185238104734123,30,0.05
RF10,7,HWN,0.1687452035084287,15,
RF10,7,HWN,0.1687452035084287,15,0.05
SVR-rbf,8,Average,0.0604060945380761,30,0.1
SVR-rbf,8,Average,0.0600077774287656,30,
GPR,8,HWA,-0.0884416273865626,30,
GPR,8,HWA,-0.0884416273865626,30,0.05
RF5,8,HWD,0.4745930602291109,5,
RF5,8,HWD,0.4745930602291109,5,0.05
XGB15,8,HWF,0.5182497286186797,5,
XGB15,8,HWF,0.5182497286186797,5,0.05
RF5,8,HWM,0.5057392698631216,10,0.15
RF5,8,HWM,0.4432996727276292,20,0.15
SVR-rbf,8,HWN,0.1614543458837339,5,
SVR-rbf,8,HWN,0.1614543458837339,5,0.05
SVR-rbf,9,Average,-0.1137394435466333,10,
SVR-rbf,9,Average,-0.1261409079131454,10,0.05
RF10,9,HWA,0.4219418099840434,5,0.15
RF5,9,HWA,0.4180419463297403,5,0.15
XGB15,9,HWD,0.5465431521222051,5,
XGB15,9,HWD,0.5465431521222051,5,0.05
RF5,9,HWF,-0.4624017368249653,5,
RF5,9,HWF,-0.4624017368249653,5,0.05
SVR-rbf,9,HWM,0.4412890249035242,20,
SVR-rbf,9,HWM,0.4412890249035242,20,0.05
RF10,9,HWN,0.3748690422993928,5,
SVR-rbf,9,HWN,0.2951333615484058,10,
RF10,10,Average,0.2519063047862388,30,
RF10,10,Average,0.2455777267931171,30,0.05
XGB15,10,HWA,0.259487228923804,10,0.15
XGB15,10,HWA,0.2034360190760255,10,0.15
RF10,10,HWD,0.3919787934446032,30,0.05
XGB10,10,HWD,0.3204939517048343,5,0.1
RF5,10,HWF,0.4950626077162893,5,0.1
RF10,10,HWF,0.4220166443753893,5,0.1
SVR-rbf,10,HWM,0.577023028616374,30,
SVR-rbf,10,HWM,0.5641735337738147,30,0.05
RF10,10,HWN,0.4284332531377571,15,0.05
RF10,10,HWN,0.4033775731875811,15,
SVR-rbf,11,Average,-0.3954305671645616,10,0.1
SVR-rbf,11,Average,-0.4660282026273304,5,
RF5,11,HWA,0.3565456824514522,10,
RF5,11,HWA,0.3565456824514522,10,0.05
SVR-rbf,11,HWD,0.4485440861743122,15,0.15
SVR-rbf,11,HWD,0.4115991439133777,10,0.15
RF5,11,HWF,0.4058799322342621,20,
RF5,11,HWF,0.4058799322342621,20,0.05
XGB15,11,HWM,0.4400475836486794,5,
XGB15,11,HWM,0.4400475836486794,5,0.05
SVR-rbf,11,HWN,-1.6063759317451702,10,0.1
XGB15,11,HWN,-1.7257295670198567,10,0.1
XGB10,12,Average,-0.2540086919439221,5,
XGB10,12,Average,-0.2540086919439221,5,0.05
GPR,12,HWA,0.3528394505995296,30,
GPR,12,HWA,0.3528394505995296,30,0.05
GPR,12,HWD,0.7167946183436964,30,
GPR,12,HWD,0.7167946183436964,30,0.05
RF10,12,HWF,0.2032065549281686,5,
RF10,12,HWF,0.2032065549281686,5,0.05
SVR-rbf,12,HWM,0.7340531711303941,30,0.15
SVR-rbf,12,HWM,0.7148828158799206,30,
RF5,12,HWN,-0.5350157424355487,10,
RF5,12,HWN,-0.5350157424355487,10,0.05
